County,# Cost Burdened Total,% Cost Burdened Total,# Renters Cost BurdenedÂ ,% Renters Cost Burdened,# Homeowners Cost Burdened,% Homeowners Cost Burdened,2 Bedroom Fair Market Rent,Annual Income Needed to afford 2BD @ FMR,Hourly Housing Wage,Elementary Teacher Annual Salary,Firefighter Annual Salary,Childcare Annual Salary,Total # Evictions filed,Total # Foreclosures filed,"County eviction ranking (1= highest % evictions. per total # renters, 100 = lowest)",Disaster Impacted
NC - Statewide,"1,138,293",28%,"615,581",48%,"522,712",19%,"$1,158 ","$46,340",$22.28 ,"$50,200 ","$35,650 ","$29,100 ","194,526","11,394",N/A,
Alamance,17406,26%,"10,016",46%,"7,390",17%,"$1,217 ","$48,680 ",$23.40 ,"$48,220 ","$38,490 ","$27,990 ","3,499",189,15,
Alexander,2176,16%,727,33%,1449,13%,"$1,046 ","$41,840 ",$20.12 ,"$50,170 ","$31,510 ","$27,840 ",110,29,69,Y
Alleghany,1115,24%,333,40%,782,21%,$947 ,"$37,880 ",$18.21 ,"$49,090 ","$30,540 ","$27,970 ",25,7,94,Y
Anson,2520,33%,960,43%,1560,29%,"$1,216 ","$48,640 ",$23.38 ,"$48,290 ","$30,530 ","$27,960 ",266,19,28,
Ashe,2250,20%,736,42%,1514,16%,$930 ,"$37,200 ",$17.88 ,"$49,090 ","$30,540 ","$27,970 ",59,20,93,Y
Avery,1239,20%,422,39%,817,16%,"$1,054 ","$42,160 ",$20.27 ,"$49,090 ","$30,540 ","$27,970 ",31,156,91,Y
Beaufort,5283,29%,"2,418",50%,"2,865",22%,$930 ,"$37,200 ",$17.88 ,"$50,940 ","$35,640 ","$27,960 ",282,55,62,
Bertie,2126,33%,581,44%,1545,30%,"$1,052 ","$42,080 ",$20.23 ,"$49,420 ","$34,890 ","$27,870 ",94,29,58,
Bladen,3135,30%,"1,216",49%,"1,919",24%,$930 ,"$37,200 ",$17.88 ,"$50,940 ","$35,640 ","$27,960 ",330,42,27,
Brunswick,16132,26%,"4,509",51%,"11,623",22%,"$1,282 ","$51,280 ",$24.65 ,"$57,260 ","$48,540 ","$27,220 ",725,187,43,
Buncombe,30149,30%,"17,845",53%,12304,19%,"$1,512 ","$60,480 ",$29.08 ,"$49,140 ","$34,340 ","$31,010 ","2,495",156,45,Y
Burke,7129,21%,"3,019",40%,"4,110",16%,"$1,046 ","$41,840 ",$20.12 ,"$50,170 ","$31,510 ","$27,840 ",447,86,61,Y
Cabarrus,21797,28%,"10,655",51%,"11,142",19%,"$1,824 ","$72,960 ",$35.08 ,"$57,930 ","$36,180 ","$29,370 ","4,467",247,6,Y
Caldwell,6094,19%,"2,783",38%,3311,14%,"$1,046 ","$41,840 ",$20.12 ,"$50,170 ","$31,510 ","$27,840 ",565,91,47,Y
Camden,883,23%,190,37%,693,21%,"$1,129 ","$45,160 ",$21.71 ,"$49,420 ","$34,890 ","$27,870 ",23,12,75,
Carteret,8860,30%,"3,928",55%,"4,932",22%,"$1,219 ","$48,760 ",$23.44 ,"$50,940 ","$35,640 ","$27,960 ",254,61,81,
Caswell,2126,26%,813,46%,1313,20%,$930 ,"$37,200 ",$17.88 ,"$48,290 ","$30,530 ","$27,960 ",86,24,70,
Catawba,13702,22%,"6,292",39%,7410,16%,"$1,046 ","$41,840 ",$20.12 ,"$50,170 ","$31,510 ","$27,840 ","1,462",186,35,Y
Chatham,7633,24%,"2,695",49%,"4,938",19%,"$1,872 ","$74,880 ",$36.00 ,"$51,740 ","$36,230 ","$33,000 ",245,55,73,
Cherokee,2793,22%,848,50%,1945,18%,$943 ,"$37,720 ",$18.13 ,"$49,090 ","$30,540 ","$27,970 ",119,34,53,Y
Chowan,1657,29%,660,43%,997,24%,"$1,128 ","$45,120 ",$21.69 ,"$49,420 ","$34,890 ","$27,870 ",53,12,85,
Clay,1466,31%,406,55%,"1,060",26%,"$1,020 ","$40,800 ",$19.62 ,"$49,090 ","$30,540 ","$27,970 ",27,11,86,Y
Cleveland,9279,26%,"4,699",50%,4580,18%,$930 ,"$37,200 ",$17.88 ,"$48,290 ","$30,530 ","$27,960 ","1,438",125,16,Y
Columbus,5303,30%,"1,890",49%,3413,25%,$938 ,"$37,520 ",$18.04 ,"$50,940 ","$35,640 ","$27,960 ",305,63,51,
Craven,11216,28%,"5,351",47%,"5,865",20%,"$1,315 ","$52,600 ",$25.29 ,"$48,100 ","$40,620 ","$25,700 ",865,115,44,
Cumberland,45174,37%,"27,822",50%,17352,26%,"$1,240 ","$49,600 ",$23.85 ,"$46,750 ","$41,280 ","$27,100 ","8,951",382,13,
Currituck,2658,24%,476,46%,2182,22%,"$1,696 ","$67,840 ",$32.62 ,"$60,750 ","$58,280 ","$28,000 ",97,33,46,
Dare,4956,31%,"1,765",52%,"3,191",25%,"$1,411 ","$56,440 ",$27.13 ,"$49,420 ","$34,890 ","$27,870 ",71,359,96,
Davidson,14960,23%,"7,017",43%,7943,16%,$933 ,"$37,320 ",$17.94 ,"$51,100 ","$33,450 ","$28,390 ","1,517",191,33,
Davie,3236,20%,927,42%,"2,309",16%,"$1,163 ","$46,520 ",$22.37 ,"$51,100 ","$33,450 ","$28,390 ",155,46,54,
Duplin,4506,24%,"2,209",43%,"2,297",16%,$976 ,"$39,040 ",$18.77 ,"$50,940 ","$35,640 ","$27,960 ",263,48,68,
Durham,41318,31%,"27,700",47%,13618,18%,"$1,872 ","$74,880 ",$36.00 ,"$51,740 ","$36,230 ","$33,000 ","6,918",254,18,
Edgecombe,6075,33%,"3,364",49%,"2,711",24%,"$1,072 ","$42,880 ",$20.62 ,"$48,430 ","$42,160 ","$26,890 ","2,829",67,1,
Forsyth,43140,28%,"25,340",47%,"17,800",18%,"$1,163 ","$46,520 ",$22.37 ,"$51,100 ","$33,450 ","$28,390 ","10,516",419,9,Y
Franklin,6600,25%,"2,593",52%,4007,19%,"$1,763 ","$70,520 ",$33.90 ,"$56,930 ","$40,230 ","$29,590 ",573,88,26,
Gaston,26199,29%,"14,273",48%,11926,20%,"$1,824 ","$72,960 ",$35.08 ,"$57,930 ","$36,180 ","$29,370 ","4,923",293,12,Y
Gates,911,24%,112,24%,799,24%,"$1,230 ","$49,200 ",$23.65 ,"$60,750 ","$58,280 ","$28,000 ",34,21,65,
Graham,606,19%,248,51%,358,13%,$930 ,"$37,200 ",$17.88 ,"$49,090 ","$30,540 ","$27,970 ",16,5,88,Y
Granville,5186,24%,"2,030",47%,"3,156",19%,"$1,333 ","$53,320 ",$25.63 ,"$48,290 ","$30,530 ","$27,960 ",443,78,31,
Greene,1874,29%,902,43%,972,22%,$930 ,"$37,200 ",$17.88 ,"$50,940 ","$35,640 ","$27,960 ",106,24,66,
Guilford,65634,31%,"40,741",50%,24893,19%,"$1,150 ","$46,000 ",$22.12 ,"$50,500 ","$41,220 ","$28,710 ","16,342",708,7,
Halifax,6554,34%,"3,311",52%,3243,25%,$930 ,"$37,200 ",$17.88 ,"$49,420 ","$34,890 ","$27,870 ",554,52,38,
Harnett,12810,27%,"5,626",42%,"7,184",21%,"$1,044 ","$41,760 ",$20.08 ,"$50,940 ","$35,640 ","$27,960 ",957,177,49,
Haywood,6500,26%,"2,697",50%,3803,19%,"$1,223 ","$48,920 ",$23.52 ,"$49,140 ","$34,340 ","$31,010 ",275,65,71,Y
Henderson,12900,26%,"5,611",48%,7289,20%,"$1,512 ","$60,480 ",$29.08 ,"$49,140 ","$34,340 ","$31,010 ",598,87,64,Y
Hertford,2617,33%,"1,369",56%,"1,248",23%,$995 ,"$39,800 ",$19.13 ,"$49,420 ","$34,890 ","$27,870 ",152,29,56,
Hoke,5303,30%,"2,235",50%,3068,23%,$986 ,"$39,440 ",$18.96 ,"$46,750 ","$41,280 ","$27,100 ",494,76,29,
Hyde,778,41%,311,72%,467,32%,$956 ,"$38,240 ",$18.38 ,"$49,420 ","$34,890 ","$27,870 ",21,6,77,
Iredell,16769,24%,"7,941",42%,"8,828",17%,"$1,387 ","$55,480 ",$26.67 ,"$57,930 ","$36,180 ","$29,370 ","2,466",201,17,Y
Jackson,3919,23%,"2,613",46%,1306,12%,$961 ,"$38,440 ",$18.48 ,"$49,090 ","$30,540 ","$27,970 ",202,231,82,Y
Johnston,19472,24%,"7,943",47%,11529,18%,"$1,763 ","$70,520 ",$33.90 ,"$56,930 ","$40,230 ","$29,590 ","1,901",314,24,
Jones,1026,28%,351,50%,675,23%,$930 ,"$37,200 ",$17.88 ,"$48,100 ","$40,620 ","$25,700 ",28,9,84,
Lee,6590,28%,"3,431",45%,3159,20%,"$1,172 ","$46,880 ",$22.54 ,"$48,290 ","$30,530 ","$27,960 ",596,60,41,Y
Lenoir,6681,31%,"3,520",43%,"3,161",23%,$930 ,"$37,200 ",$17.88 ,"$50,940 ","$35,640 ","$27,960 ","1,475",57,11,
Lincoln,7336,21%,"2,899",42%,"4,437",16%,"$1,171 ","$46,840 ",$22.52 ,"$57,930 ","$36,180 ","$29,370 ",633,79,34,Y
Macon,4110,23%,"1,913",47%,2197,16%,"$1,022 ","$40,880 ",$19.65 ,"$49,090 ","$30,540 ","$27,970 ",80,39,98,Y
Madison,1955,19%,587,15%,1368,21%,"$1,512 ","$60,480 ",$29.08 ,"$49,140 ","$34,340 ","$31,010 ",46,20,90,Y
Martin,2639,34%,"1,108",82%,"1,531",24%,$930 ,"$37,200 ",$17.88 ,"$49,420 ","$34,890 ","$27,870 ",206,32,42,
McDowell,3065,19%,"1,394",56%,1671,12%,$930 ,"$37,200 ",$17.88 ,"$49,090 ","$30,540 ","$27,970 ",196,49,72,Y
Mecklenburg,143774,32%,"93,925",48%,49849,20%,"$1,824 ","$72,960 ",$35.08 ,"$57,930 ","$36,180 ","$29,370 ","46,026",997,3,Y
Mitchell,1296,21%,466,41%,830,17%,$930 ,"$37,200 ",$17.88 ,"$49,090 ","$30,540 ","$27,970 ",36,10,89,Y
Montgomery,2055,22%,650,32%,1405,19%,$930 ,"$37,200 ",$17.88 ,"$48,290 ","$30,530 ","$27,960 ",130,43,63,
Moore,10204,25%,"4,312",48%,5892,18%,"$1,135 ","$45,400 ",$21.83 ,"$48,290 ","$30,530 ","$27,960 ",383,67,74,
Nash,9793,27%,"5,325",42%,"4,468",18%,"$1,072 ","$42,880 ",$20.62 ,"$48,430 ","$42,160 ","$26,890 ","4,346",129,2,Y
New Hanover,33863,34%,"20,080",54%,13783,22%,"$1,580 ","$63,200 ",$30.38 ,"$50,370 ","$32,910 ","$27,570 ","3,135",200,36,
Northampton,2281,32%,829,50%,1452,26%,"$1,026 ","$41,040 ",$19.73 ,"$49,420 ","$34,890 ","$27,870 ",117,37,50,
Onslow,22874,33%,"13,014",49%,"9,860",23%,"$1,147 ","$45,880 ",$22.06 ,"$48,510 ","$37,690 ","$27,960 ","1,549",234,55,
Orange,16809,31%,"10,290",55%,6519,18%,"$1,872 ","$74,880 ",$36.00 ,"$51,740 ","$36,230 ","$33,000 ","1,474",47,40,
Pamlico,1325,27%,280,47%,1045,25%,"$1,188 ","$47,520 ",$22.85 ,"$48,100 ","$40,620 ","$25,700 ",20,22,92,
Pasquotank,4755,32%,"2,628",52%,"2,127",21%,"$1,192 ","$47,680 ",$22.92 ,"$49,420 ","$34,890 ","$27,870 ",515,56,25,
Pender,6315,27%,"2,003",51%,4312,22%,"$1,079 ","$43,160 ",$20.75 ,"$50,370 ","$32,910 ","$27,570 ",232,72,57,
Perquimans,1376,26%,473,39%,903,22%,$994 ,"$39,760 ",$19.12 ,"$49,420 ","$34,890 ","$27,870 ",47,27,80,
Person,4150,27%,"1,897",55%,"2,253",19%,"$1,031 ","$41,240 ",$19.83 ,"$51,740 ","$36,230 ","$33,000 ",434,63,19,
Pitt,22605,32%,"15,962",48%,6643,18%,"$1,096 ","$43,840 ",$21.08 ,"$48,030 ","$31,540 ","$27,430 ","6,148",173,10,
Polk,2024,25%,817,54%,1207,18%,"$1,046 ","$41,840 ",$20.12 ,"$49,090 ","$30,540 ","$27,970 ",39,17,97,Y
Randolph,12805,23%,"6,256",44%,"6,549",16%,"$1,150 ","$46,000 ",$22.12 ,"$50,500 ","$41,220 ","$28,710 ","1,144",131,39,
Richmond,5110,33%,"2,424",54%,2686,25%,$930 ,"$37,200 ",$17.88 ,"$48,290 ","$30,530 ","$27,960 ",508,66,32,
Robeson,11478,30%,"5,756",50%,"5,722",21%,$930 ,"$37,200 ",$17.88 ,"$50,940 ","$35,640 ","$27,960 ","2,214",109,14,
Rockingham,9243,25%,"4,155",46%,"5,088",18%,"$1,041 ","$41,640 ",$20.02 ,"$50,500 ","$41,220 ","$28,710 ",834,135,37,
Rowan,14054,25%,"6,882",46%,7172,18%,"$1,285 ","$51,400 ",$24.71 ,"$57,930 ","$36,180 ","$29,370 ","1,830",164,20,Y
Rutherford,5683,23%,"2,542",45%,3141,16%,$930 ,"$37,200 ",$17.88 ,"$48,290 ","$30,530 ","$27,960 ",391,127,52,Y
Sampson,5088,25%,"2,296",47%,"2,792",18%,$930 ,"$37,200 ",$17.88 ,"$50,940 ","$35,640 ","$27,960 ",298,85,60,
Scotland,3679,32%,"2,093",51%,1586,22%,$930 ,"$37,200 ",$17.88 ,"$50,940 ","$35,640 ","$27,960 ",560,41,21,
Stanly,5342,23%,"2,246",42%,3096,17%,$980 ,"$39,200 ",$18.85 ,"$48,290 ","$30,530 ","$27,960 ",282,54,67,Y
Stokes,3975,21%,"1,498",41%,"2,477",16%,"$1,163 ","$46,520 ",$22.37 ,"$51,100 ","$33,450 ","$28,390 ",106,49,87,
Surry,6669,24%,"3,019",44%,3650,17%,$930 ,"$37,200 ",$17.88 ,"$48,290 ","$30,530 ","$27,960 ",267,63,78,Y
Swain,1151,21%,492,39%,659,16%,$930 ,"$37,200 ",$17.88 ,"$49,090 ","$30,540 ","$27,970 ",46,15,83,Y
Transylvania,3467,25%,"1,407",46%,"2,060",19%,"$1,150 ","$46,000 ",$22.12 ,"$49,090 ","$30,540 ","$27,970 ",116,27,79,Y
Tyrrell,424,31%,151,64%,273,24%,$930 ,"$37,200 ",$17.88 ,"$49,420 ","$34,890 ","$27,870 ",6,4,95,
Union,18401,23%,"5,881",44%,12520,19%,"$1,824 ","$72,960 ",$35.08 ,"$57,930 ","$36,180 ","$29,370 ","1,527",248,23,Y
Vance,4906,32%,"3,112",52%,"1,794",20%,"$1,022 ","$40,880 ",$19.65 ,"$48,290 ","$30,530 ","$27,960 ","1,425",70,5,
Wake,120490,27%,"72,313",47%,48177,17%,"$1,763 ","$70,520 ",$33.90 ,"$56,930 ","$40,230 ","$29,590 ","29,599",779,8,
Warren,2374,32%,"1,001",53%,1373,25%,$930 ,"$37,200 ",$17.88 ,"$49,420 ","$34,890 ","$27,870 ",156,27,48,
Washington,1393,32%,596,55%,797,24%,$930 ,"$37,200 ",$17.88 ,"$49,420 ","$34,890 ","$27,870 ",131,16,30,
Watauga,7356,37%,"4,713",65%,2643,21%,"$1,274 ","$50,960 ",$24.50 ,"$49,090 ","$30,540 ","$27,970 ",141,32,99,Y
Wayne,12288,27%,"7,287",45%,"5,001",17%,"$1,184 ","$47,360 ",$22.77 ,"$50,300 ","$39,170 ","$27,960 ","1,863",136,22,
Wilkes,5330,21%,"2,471",44%,"2,859",14%,$930 ,"$37,200 ",$17.88 ,"$48,290 ","$30,530 ","$27,960 ",362,64,59,Y
Wilson,9746,31%,"5,687",46%,4059,21%,"$1,006 ","$40,240 ",$19.35 ,"$50,940 ","$35,640 ","$27,960 ","3,034",90,4,
Yadkin,3181,22%,"1,515",50%,1666,15%,"$1,163 ","$46,520 ",$22.37 ,"$51,100 ","$33,450 ","$28,390 ",121,42,76,Y
Yancey,1635,21%,466,34%,"1,169",19%,$930 ,"$37,200 ",$17.88 ,"$49,090 ","$30,540 ","$27,970 ",28,16,100,Y
